source,interaction_id,session_id,top_timestamp,total_latency,event_type,step_ms,start_time,end_time,foundation_model,input_tokens,output_tokens,collaborator_name,action_group,api_path,guardrail_action
case_create,324c3c4832f590e0db98efaa78fcc815,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:54.991000+00:00,18.749,llm_orchestration,7695,2026-02-13T09:51:55.741711Z,2026-02-13T09:52:03.436384Z,,11743.0,263.0,,,,
case_create,324c3c4832f590e0db98efaa78fcc815,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:54.991000+00:00,18.749,agent_collaborator,8214,2026-02-13T09:51:55.398799Z,2026-02-13T09:52:03.612569Z,,,,SupportCase-Management-Agent,,,
case_create,324c3c4832f590e0db98efaa78fcc815,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:54.991000+00:00,18.749,llm_orchestration,9439,2026-02-13T09:52:03.725898Z,2026-02-13T09:52:13.164749Z,,10842.0,438.0,,,,
case_create,324c3c4832f590e0db98efaa78fcc815,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:54.991000+00:00,18.749,routing_collaborator_roundtrip,18100,2026-02-13T09:51:55.172579Z,2026-02-13T09:52:13.272032Z,,,,Case-Management2-Collaborator,,,
case_create,fb328a876ccc595477ac5893b8325ac6,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:23.907000+00:00,15.684,guardrail_pre,642,2026-02-13T09:51:24.320700Z,2026-02-13T09:51:24.962681Z,,,,,,,NONE
case_create,fb328a876ccc595477ac5893b8325ac6,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:23.907000+00:00,15.684,routing_classifier,1448,2026-02-13T09:51:24.966105Z,2026-02-13T09:51:26.414804Z,,4468.0,14.0,,,,
case_create,fb328a876ccc595477ac5893b8325ac6,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:23.907000+00:00,15.684,guardrail_pre,658,2026-02-13T09:51:26.919586Z,2026-02-13T09:51:27.577633Z,,,,,,,NONE
case_create,fb328a876ccc595477ac5893b8325ac6,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:23.907000+00:00,15.684,llm_orchestration,5058,2026-02-13T09:51:27.628897Z,2026-02-13T09:51:32.686544Z,,10437.0,165.0,,,,
case_create,fb328a876ccc595477ac5893b8325ac6,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:23.907000+00:00,15.684,llm_orchestration,5749,2026-02-13T09:51:33.058220Z,2026-02-13T09:51:38.807127Z,,11563.0,146.0,,,,
case_create,fb328a876ccc595477ac5893b8325ac6,5bef0490-08c0-11f1-907e-cdcae5aa3470,2026-02-13 09:51:23.907000+00:00,15.684,agent_collaborator,6196,2026-02-13T09:51:32.733617Z,2026-02-13T09:51:38.929368Z,,,,SupportCase-Management-Agent,,,
